fold,test_year,n_test,react%,roc_auc,pr_auc,brier,hit>=.70,n>=.70,hit>=.60,n>=.60,best_iter
fit≤2021|cal2022|test2023,2023,6073,0.38234809813930515,0.7032406058355727,0.5841745431030165,0.20705606181997369,0.8291666666666667,240,0.7253634894991923,619,2265
fit≤2022|cal2023|test2024,2024,7376,0.39506507592190887,0.7178086930680093,0.6142684911790853,0.2046900751753362,0.7809364548494984,598,0.7816666666666666,600,1854
fit≤2023|cal2024|test2025,2025,6444,0.3840782122905028,0.6972382428467084,0.5856047364308065,0.2084667611783784,0.8445378151260504,238,0.6953125,896,2031
fit≤2024|cal2025|test2026,2026,2411,0.39651596847781,0.6971106701749845,0.5779700062511732,0.2124995379734106,0.7181208053691275,149,0.6502732240437158,366,1280
