,n_trades,win_rate,avg_win_R,avg_loss_R,expectancy_R,total_R,profit_factor,max_dd_R
ALL touches,22299.0,0.3682227902596529,3.651039666124025,-1.3169794343432246,0.512358420894077,11425.080427517023,1.6157875865544276,93.56633139357143
RANDOM (n=1225),1225.0,,,,0.5123793977656302,627.664762262897,,
CONF >= 0.65,1831.0,0.671217913708356,3.6179150630783785,-1.369451953041772,1.9781581304162648,3622.007536792181,5.393453747614525,10.629797256976417
CONF >= 0.70,1225.0,0.7093877551020408,3.5631325704009678,-1.465503159131998,2.101749452267306,2574.64307902745,5.934921794844651,10.60242079385074
